::1 - - [26/Sep/2019:22:26:04 +0000] "GET /js/main.js HTTP/1.1" 304 - "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:70.0) Gecko/20100101 Firefox/70.0"
::1 - - [26/Sep/2019:22:26:04 +0000] "GET /css/product.css HTTP/1.1" 304 - "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:70.0) Gecko/20100101 Firefox/70.0"
::1 - - [26/Sep/2019:22:26:04 +0000] "GET /images/2019-09-19T17:56:20.194Z-plus.jpg HTTP/1.1" 304 - "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.14; rv:70.0) Gecko/20100101 Firefox/70.0"
::ffff:127.0.0.1 - - [09/Oct/2019:07:08:36 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::ffff:127.0.0.1 - - [09/Oct/2019:07:08:36 +0000] "GET /css/main.css HTTP/1.1" 200 - "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::ffff:127.0.0.1 - - [09/Oct/2019:07:08:36 +0000] "GET /js/main.js HTTP/1.1" 200 527 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::ffff:127.0.0.1 - - [09/Oct/2019:07:08:36 +0000] "GET /css/product.css HTTP/1.1" 200 379 "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::ffff:127.0.0.1 - - [09/Oct/2019:07:08:36 +0000] "GET /images/2019-09-19T17:56:20.194Z-plus.jpg HTTP/1.1" 304 - "https://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::ffff:127.0.0.1 - - [09/Oct/2019:07:08:36 +0000] "GET /favicon.ico HTTP/1.1" - - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::1 - - [09/Oct/2019:07:17:16 +0000] "GET / HTTP/1.1" 200 - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::1 - - [09/Oct/2019:07:17:16 +0000] "GET /js/main.js HTTP/1.1" 200 527 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::1 - - [09/Oct/2019:07:17:16 +0000] "GET /css/product.css HTTP/1.1" 200 379 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::1 - - [09/Oct/2019:07:17:16 +0000] "GET /css/main.css HTTP/1.1" 200 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::1 - - [09/Oct/2019:07:17:16 +0000] "GET /images/2019-09-19T17:56:20.194Z-plus.jpg HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
::1 - - [09/Oct/2019:07:17:17 +0000] "GET /favicon.ico HTTP/1.1" - - "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:70.0) Gecko/20100101 Firefox/70.0"
